R_KD,B_KD,R_SUB_ATT,B_SUB_ATT,R_REV,B_REV,last_round,SLpM_x,SApM_x,TD_Avg_x,Sub_Avg_x,R_Height_cms,R_Weight_lbs,R_Reach_cms,SLpM_y,SApM_y,TD_Avg_y,Sub_Avg_y,B_Height_cms,B_Weight_lbs,B_Reach_cms,R_SIG_STR_landed,R_SIG_STR_attempted,B_SIG_STR_landed,B_SIG_STR_attempted,R_TOTAL_STR_landed,R_TOTAL_STR_attempted,B_TOTAL_STR_landed,B_TOTAL_STR_attempted,R_TD_landed,R_TD_attempted,B_TD_landed,B_TD_attempted,R_HEAD_landed,R_HEAD_attempted,B_HEAD_landed,B_HEAD_attempted,R_BODY_landed,R_BODY_attempted,B_BODY_landed,B_BODY_attempted,R_LEG_landed,R_LEG_attempted,B_LEG_landed,B_LEG_attempted,R_DISTANCE_landed,R_DISTANCE_attempted,B_DISTANCE_landed,B_DISTANCE_attempted,R_CLINCH_landed,R_CLINCH_attempted,B_CLINCH_landed,B_CLINCH_attempted,R_GROUND_landed,R_GROUND_attempted,B_GROUND_landed,B_GROUND_attempted,R_SIG_STR_pct_float,B_SIG_STR_pct_float,R_TD_pct_float,B_TD_pct_float,Str_Acc_x_float,Str_Def_x_float,TD_Acc_x_float,TD_Def_x_float,Str_Acc_y_float,Str_Def_y_float,TD_Acc_y_float,TD_Def_y_float,R_age,B_age,age_diff,height_diff,reach_diff,weight_diff,slpm_diff,str_acc_diff,sapm_diff,str_def_diff,td_avg_diff,td_acc_diff,td_def_diff,sub_avg_diff,Winner_target
2,0,0,0,0,0,3,4.69,2.31,0.0,0.0,170.18,135.0,177.8,2.24,4.65,1.07,0.5,165.1,135.0,170.18,41,103,23,51,41,103,23,51,0,0,0,1,32,83,14,40,8,19,5,7,1,1,4,4,41,102,23,51,0,0,0,0,0,1,0,0,0.39,0.45,0.0,0.0,0.44,0.55,0.0,1.0,0.41,0.51,0.5,0.27,27.304585900068446,31.72895277207392,-4.424366872005475,5.0800000000000125,7.6200000000000045,0.0,2.45,0.030000000000000027,-2.3400000000000003,0.040000000000000036,-1.07,-0.5,0.73,-0.5,1
0,0,1,2,0,1,3,3.26,1.88,1.37,0.3,182.88,185.0,187.96,2.98,1.75,1.75,2.2,187.96,205.0,193.04,27,57,32,67,43,73,75,110,1,2,1,3,22,51,10,37,4,4,7,14,1,2,15,16,15,42,28,59,4,5,3,6,8,10,1,2,0.47,0.47,0.5,0.33,0.56,0.62,0.8,0.79,0.51,0.61,0.5,0.33,28.618754277891856,32.67898699520876,-4.060232717316904,-5.0800000000000125,-5.079999999999984,-20.0,0.2799999999999998,0.050000000000000044,0.1299999999999999,0.010000000000000009,-0.3799999999999999,0.30000000000000004,0.46,-1.9000000000000001,1
1,0,0,0,0,0,1,4.38,3.44,0.0,0.0,187.96,264.0,190.5,4.33,8.44,0.0,0.0,187.96,241.0,190.5,14,18,2,6,14,18,2,6,0,0,0,0,10,14,1,5,0,0,0,0,4,4,1,1,9,10,2,6,0,0,0,0,5,8,0,0,0.77,0.33,0.0,0.0,0.5,0.5,0.0,0.46,0.51,0.41,0.0,0.0,28.01095140314853,32.20807665982204,-4.197125256673512,0.0,0.0,23.0,0.04999999999999982,-0.010000000000000009,-5.0,0.09000000000000002,0.0,0.0,0.46,0.0,1
0,0,0,2,3,1,3,4.1,1.67,0.0,0.0,160.02,115.0,160.02,1.0,2.07,4.0,2.0,152.4,115.0,154.94,31,65,15,41,49,87,136,168,0,0,4,5,26,60,10,35,5,5,0,1,0,0,5,5,26,56,15,41,2,2,0,0,3,7,0,0,0.47,0.36,0.0,0.8,0.53,0.65,0.0,0.6,0.36,0.52,0.8,0.0,25.73579739904175,28.123203285420946,-2.387405886379195,7.6200000000000045,5.0800000000000125,0.0,3.0999999999999996,0.17000000000000004,-0.3999999999999999,0.13,-4.0,-0.8,0.6,-2.0,0
0,0,0,0,0,1,3,3.29,3.37,0.66,0.8,167.64,135.0,172.72,4.16,2.17,0.98,0.5,180.34,135.0,182.88,30,63,51,138,59,93,92,184,2,4,1,1,14,40,29,110,7,13,15,20,9,10,7,8,25,54,36,119,5,9,13,15,0,0,2,4,0.47,0.36,0.5,1.0,0.41,0.61,0.63,0.5,0.49,0.46,0.21,0.64,43.748117727583846,29.648186173853524,14.099931553730322,-12.700000000000017,-10.159999999999997,0.0,-0.8700000000000001,-0.08000000000000002,1.2000000000000002,0.14999999999999997,-0.31999999999999995,0.42000000000000004,-0.14,0.30000000000000004,0
0,0,0,0,0,0,3,2.65,2.77,1.07,0.3,182.88,155.0,190.5,3.4,2.1,3.44,1.6,177.8,145.0,182.88,30,67,46,84,74,115,75,132,1,2,1,13,14,45,16,48,6,10,23,27,10,12,7,9,28,65,33,68,2,2,9,11,0,0,4,5,0.44,0.54,0.5,0.07,0.44,0.58,0.29,0.89,0.48,0.51,0.34,0.4,41.11978097193703,27.077344284736483,14.04243668720055,5.079999999999984,7.6200000000000045,10.0,-0.75,-0.03999999999999998,0.6699999999999999,0.06999999999999995,-2.37,-0.050000000000000044,0.49,-1.3,0
0,1,0,0,0,0,1,4.39,4.37,0.0,0.0,182.88,170.0,180.34,4.14,3.94,1.7,0.5,180.34,170.0,193.04,14,24,17,28,14,24,17,28,0,0,0,1,5,10,11,17,5,8,2,7,4,6,4,4,14,24,16,27,0,0,0,0,0,0,1,1,0.58,0.6,0.0,0.0,0.46,0.54,0.0,0.5,0.48,0.56,0.51,0.66,31.028062970568104,35.304585900068446,-4.2765229295003415,2.539999999999992,-12.699999999999989,0.0,0.25,-0.019999999999999962,0.43000000000000016,-0.020000000000000018,-1.7,-0.51,-0.16000000000000003,-0.5,0
0,0,1,0,0,0,5,3.46,2.72,3.11,0.5,185.42,185.0,195.58,4.14,2.58,1.08,0.7,190.5,185.0,205.74,43,93,36,74,226,323,190,236,6,12,1,1,28,74,28,64,7,10,2,4,8,9,6,6,14,43,29,64,10,10,5,7,19,40,2,3,0.46,0.48,0.5,1.0,0.47,0.53,0.33,0.94,0.56,0.56,0.45,0.51,37.20739219712526,28.369609856262834,8.837782340862425,-5.0800000000000125,-10.159999999999997,0.0,-0.6799999999999997,-0.09000000000000008,0.14000000000000012,-0.030000000000000027,2.03,-0.12,0.42999999999999994,-0.19999999999999996,1
2,0,0,0,0,0,1,3.77,1.5,4.15,0.2,177.8,135.0,190.5,7.12,7.63,0.0,0.0,170.18,135.0,177.8,15,26,14,25,15,26,14,25,0,0,0,0,11,22,3,7,2,2,3,7,2,2,8,11,5,12,12,22,3,4,0,1,7,10,2,2,0.57,0.56,0.0,0.0,0.55,0.56,0.77,0.66,0.56,0.42,0.0,0.0,28.903490759753595,29.809719370294317,-0.9062286105407225,7.6200000000000045,12.699999999999989,0.0,-3.35,-0.010000000000000009,-6.13,0.14000000000000007,4.15,0.77,0.66,0.2,1
0,1,0,0,0,0,1,4.18,3.22,4.28,2.3,190.5,205.0,195.58,3.55,3.45,1.72,1.7,195.58,205.0,200.66,5,18,16,29,5,18,16,29,0,0,0,0,5,18,14,27,0,0,2,2,0,0,0,0,5,18,4,13,0,0,0,0,0,0,12,16,0.27,0.55,0.0,0.0,0.51,0.6,0.57,0.71,0.45,0.47,0.41,0.6,34.039698836413415,29.5523613963039,4.487337440109513,-5.0800000000000125,-5.079999999999984,0.0,0.6299999999999999,0.06,-0.22999999999999998,0.13,2.5600000000000005,0.15999999999999998,0.10999999999999999,0.5999999999999999,0
2,0,0,0,0,0,3,4.79,4.11,0.0,0.7,175.26,145.0,175.26,5.1,7.3,1.03,0.0,172.72,145.0,180.34,106,220,74,204,128,248,80,211,0,1,1,2,68,167,25,146,21,35,22,29,17,18,27,29,73,163,63,187,14,18,11,17,19,39,0,0,0.48,0.36,0.0,0.5,0.45,0.61,0.0,0.47,0.36,0.51,0.5,1.0,25.29226557152635,32.695414099931554,-7.403148528405204,2.539999999999992,-5.0800000000000125,0.0,-0.3099999999999996,0.09000000000000002,-3.1899999999999995,0.09999999999999998,-1.03,-0.5,-0.53,0.7,1
0,0,0,0,0,0,3,5.66,4.98,0.45,0.1,160.02,115.0,162.56,2.75,3.53,1.33,0.7,170.18,115.0,175.26,77,135,34,116,97,165,53,143,1,3,2,6,26,63,17,85,35,54,11,21,16,18,6,10,47,98,34,115,29,33,0,1,1,4,0,0,0.57,0.29,0.33,0.33,0.5,0.64,0.36,0.76,0.39,0.46,0.37,0.68,36.16427104722793,33.39630390143737,2.767967145790557,-10.159999999999997,-12.699999999999989,0.0,2.91,0.10999999999999999,1.4500000000000006,0.18,-0.8800000000000001,-0.010000000000000009,0.07999999999999996,-0.6,1
1,1,0,0,0,0,2,4.27,3.81,0.48,0.0,172.72,135.0,177.8,3.93,2.47,2.3,0.2,172.72,135.0,175.26,29,71,48,110,29,71,49,111,0,0,0,1,16,57,14,64,5,6,19,30,8,8,15,16,26,66,46,108,0,0,0,0,3,5,2,2,0.4,0.43,0.0,0.0,0.46,0.58,0.37,0.63,0.47,0.63,0.45,0.66,26.89664613278576,35.233401779603014,-8.336755646817252,0.0,2.5400000000000205,0.0,0.3399999999999994,-0.009999999999999953,1.3399999999999999,-0.050000000000000044,-1.8199999999999998,-0.08000000000000002,-0.030000000000000027,-0.2,0
1,0,0,0,0,0,1,3.95,3.36,1.68,0.5,170.18,145.0,180.34,4.39,4.28,2.98,1.5,167.64,145.0,167.64,1,4,1,1,1,4,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0.25,1.0,0.0,0.0,0.46,0.58,0.27,0.59,0.45,0.57,0.42,0.53,29.60164271047228,34.7378507871321,-5.136208076659823,2.5400000000000205,12.700000000000017,0.0,-0.4399999999999995,0.010000000000000009,-0.9200000000000004,0.010000000000000009,-1.3,-0.14999999999999997,0.05999999999999994,-1.0,1
0,0,0,0,0,0,3,5.81,3.23,0.18,0.0,177.8,155.0,182.88,3.47,6.6,0.0,0.0,170.18,155.0,177.8,99,217,52,217,99,218,54,219,0,2,0,3,60,170,32,186,38,45,15,24,1,2,5,7,99,217,48,211,0,0,4,6,0,0,0,0,0.45,0.23,0.0,0.0,0.47,0.74,0.16,0.84,0.23,0.54,0.0,1.0,25.557837097878167,26.60369609856263,-1.0458590006844624,7.6200000000000045,5.079999999999984,0.0,2.3399999999999994,0.23999999999999996,-3.3699999999999997,0.19999999999999996,0.18,0.16,-0.16000000000000003,0.0,1
0,0,0,0,0,0,3,4.33,4.19,0.28,0.6,170.18,125.0,170.18,3.76,4.55,0.8,0.0,165.1,125.0,170.18,55,131,45,80,121,202,58,99,0,1,4,7,35,107,41,74,9,12,4,6,11,12,0,0,45,114,36,64,10,17,4,7,0,0,5,9,0.41,0.56,0.0,0.57,0.38,0.52,0.27,0.38,0.41,0.61,0.4,0.57,33.856262833675565,28.451745379876797,5.404517453798768,5.0800000000000125,0.0,0.0,0.5700000000000003,-0.02999999999999997,-0.35999999999999943,-0.08999999999999997,-0.52,-0.13,-0.18999999999999995,0.6,0
1,0,0,0,0,0,1,7.93,5.31,1.97,1.0,185.42,170.0,190.5,3.16,2.68,3.65,1.8,177.8,170.0,177.8,3,5,4,4,3,5,4,4,0,0,0,0,2,4,2,2,0,0,0,0,1,1,2,2,2,2,4,4,0,0,0,0,1,3,0,0,0.6,1.0,0.0,0.0,0.5,0.56,1.0,1.0,0.65,0.29,0.5,0.0,28.301163586584533,34.34633812457221,-6.0451745379876805,7.619999999999976,12.699999999999989,0.0,4.77,-0.15000000000000002,2.6299999999999994,0.2700000000000001,-1.68,0.5,1.0,-0.8,1
0,0,1,0,0,0,2,1.57,1.7,2.89,2.0,167.64,135.0,170.18,0.9,3.89,1.42,0.0,170.18,135.0,177.8,8,13,3,18,42,65,15,35,2,4,0,0,0,3,2,16,1,2,1,2,7,8,0,0,8,13,3,18,0,0,0,0,0,0,0,0,0.61,0.16,0.5,0.0,0.37,0.5,0.33,0.24,0.27,0.4,0.5,0.44,36.498288843258045,33.256673511293634,3.241615331964411,-2.5400000000000205,-7.6200000000000045,0.0,0.67,0.09999999999999998,-2.1900000000000004,0.09999999999999998,1.4700000000000002,-0.16999999999999998,-0.2,2.0,1
0,0,0,2,0,0,3,3.33,1.2,0.0,1.0,165.1,115.0,170.18,1.79,3.35,1.06,0.7,160.02,115.0,165.1,31,63,24,79,51,95,50,125,0,0,2,3,18,48,10,62,7,9,3,5,6,6,11,12,27,59,17,70,4,4,1,1,0,0,6,8,0.49,0.3,0.0,0.66,0.54,0.7,0.0,0.71,0.4,0.44,0.42,0.83,25.75770020533881,35.813826146475016,-10.056125941136205,5.079999999999984,5.0800000000000125,0.0,1.54,0.14,-2.1500000000000004,0.25999999999999995,-1.06,-0.42,-0.12,0.30000000000000004,0
0,0,0,0,0,0,3,3.65,2.42,2.99,0.1,172.72,135.0,172.72,4.81,4.3,1.1,0.5,170.18,140.0,172.72,89,202,74,193,115,229,74,193,2,9,0,2,51,151,41,148,24,35,10,19,14,16,23,26,85,197,72,191,4,4,2,2,0,1,0,0,0.44,0.38,0.22,0.0,0.32,0.72,0.46,0.83,0.42,0.59,0.39,0.59,35.9917864476386,29.963039014373717,6.028747433264886,2.539999999999992,0.0,-5.0,-1.1599999999999997,-0.09999999999999998,-1.88,0.13,1.8900000000000001,0.07,0.24,-0.4,1
0,0,0,0,1,0,3,4.35,3.64,0.59,0.4,172.72,145.0,170.18,5.32,3.04,2.88,0.4,172.72,135.0,182.88,67,161,59,142,89,189,69,152,0,0,3,5,39,120,38,112,20,32,16,23,8,9,5,7,67,158,54,137,0,1,2,2,0,2,3,3,0.41,0.41,0.0,0.6,0.42,0.57,0.75,0.56,0.46,0.61,0.63,0.71,23.2580424366872,25.73305954825462,-2.4750171115674178,0.0,-12.699999999999989,10.0,-0.9700000000000006,-0.040000000000000036,0.6000000000000001,-0.040000000000000036,-2.29,0.12,-0.1499999999999999,0.0,0
1,0,0,0,0,1,4,5.99,3.55,2.14,0.1,170.18,135.0,170.18,4.84,2.2,1.77,0.9,170.18,135.0,180.34,86,137,97,230,103,157,119,260,7,7,1,17,48,96,40,154,21,24,43,60,17,17,14,16,64,106,79,207,12,18,13,14,10,13,5,9,0.62,0.42,1.0,0.05,0.52,0.62,0.66,0.9,0.49,0.63,0.24,0.41,28.06297056810404,31.59753593429158,-3.534565366187543,0.0,-10.159999999999997,0.0,1.1500000000000004,0.030000000000000027,1.3499999999999996,-0.010000000000000009,0.3700000000000001,0.42000000000000004,0.49000000000000005,-0.8,0
0,0,0,0,0,0,5,3.59,2.79,1.18,0.2,187.96,205.0,198.12,3.95,2.63,0.0,0.3,193.04,185.0,203.2,107,193,78,161,184,276,99,182,3,5,0,0,67,146,32,102,29,33,17,23,11,14,29,36,85,169,77,158,6,6,0,1,16,18,1,2,0.55,0.48,0.6,0.0,0.49,0.53,0.53,0.65,0.49,0.61,0.0,0.82,38.02874743326489,31.62217659137577,6.4065708418891205,-5.079999999999984,-5.079999999999984,20.0,-0.3600000000000003,0.0,0.16000000000000014,-0.07999999999999996,1.18,0.53,-0.16999999999999993,-0.09999999999999998,1
0,0,0,0,0,0,3,4.27,2.33,0.7,0.1,187.96,205.0,193.04,4.23,2.23,0.75,0.2,193.04,205.0,198.12,49,97,36,89,61,109,50,103,0,1,0,2,10,41,8,47,23,33,13,16,16,23,15,26,35,82,29,82,14,15,7,7,0,0,0,0,0.5,0.4,0.0,0.0,0.48,0.55,0.38,0.66,0.52,0.52,0.25,0.9,37.16084873374401,29.078713210130047,8.082135523613964,-5.079999999999984,-5.0800000000000125,0.0,0.03999999999999915,-0.040000000000000036,0.10000000000000009,0.030000000000000027,-0.050000000000000044,0.13,-0.24,-0.1,0
0,0,0,0,0,0,3,3.52,2.67,1.41,0.6,162.56,125.0,165.1,3.37,2.65,2.75,0.0,167.64,125.0,170.18,46,114,58,88,61,130,71,107,0,0,5,6,13,57,39,65,21,41,14,18,12,16,5,5,41,108,50,77,4,5,4,5,1,1,4,6,0.4,0.65,0.0,0.83,0.34,0.61,0.3,0.62,0.55,0.56,0.28,0.64,36.596851471594796,28.40520191649555,8.191649555099247,-5.079999999999984,-5.0800000000000125,0.0,0.1499999999999999,-0.21000000000000002,0.020000000000000018,0.04999999999999993,-1.34,0.019999999999999962,-0.020000000000000018,0.6,0
