R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR.,B_SIG_STR.,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR.,B_TOTAL_STR.,R_TD,B_TD,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_REV,B_REV,R_CTRL,B_CTRL,R_HEAD,B_HEAD,R_BODY,B_BODY,R_LEG,B_LEG,R_DISTANCE,B_DISTANCE,R_CLINCH,B_CLINCH,R_GROUND,B_GROUND,win_by,last_round,last_round_time,Format,Referee,date,location,Fight_type,Winner,R_Stance,R_DOB,SLpM_x,Str_Acc_x,SApM_x,Str_Def_x,TD_Avg_x,TD_Acc_x,TD_Def_x,Sub_Avg_x,R_Height_cms,R_Weight_lbs,R_Reach_cms,B_Stance,B_DOB,SLpM_y,Str_Acc_y,SApM_y,Str_Def_y,TD_Avg_y,TD_Acc_y,TD_Def_y,Sub_Avg_y,B_Height_cms,B_Weight_lbs,B_Reach_cms
Adrian Yanez,Gustavo Lopez,2,0,41 of 103,23 of 51,39%,45%,41 of 103,23 of 51,0 of 0,0 of 1,---,0%,0,0,0,0,0:03,0:00,32 of 83,14 of 40,8 of 19,5 of 7,1 of 1,4 of 4,41 of 102,23 of 51,0 of 0,0 of 0,0 of 1,0 of 0,KO/TKO,3,0:27,3 Rnd (5-5-5),Chris Tognoni,"March 20, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,Adrian Yanez,Orthodox,"Nov 29, 1993",4.69,44%,2.31,55%,0.0,0%,100%,0.0,170.18,135.0,177.8,Orthodox,"Jun 27, 1989",2.24,41%,4.65,51%,1.07,50%,27%,0.5,165.1,135.0,170.18
Trevin Giles,Roman Dolidze,0,0,27 of 57,32 of 67,47%,47%,43 of 73,75 of 110,1 of 2,1 of 3,50%,33%,1,2,0,1,1:15,4:15,22 of 51,10 of 37,4 of 4,7 of 14,1 of 2,15 of 16,15 of 42,28 of 59,4 of 5,3 of 6,8 of 10,1 of 2,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,"March 20, 2021","Las Vegas, Nevada, USA",Middleweight Bout,Trevin Giles,Orthodox,"Aug 06, 1992",3.26,56%,1.88,62%,1.37,80%,79%,0.3,182.88,185.0,187.96,Orthodox,"Jul 15, 1988",2.98,51%,1.75,61%,1.75,50%,33%,2.2,187.96,205.0,193.04
Tai Tuivasa,Harry Hunsucker,1,0,14 of 18,2 of 6,77%,33%,14 of 18,2 of 6,0 of 0,0 of 0,---,---,0,0,0,0,0:10,0:00,10 of 14,1 of 5,0 of 0,0 of 0,4 of 4,1 of 1,9 of 10,2 of 6,0 of 0,0 of 0,5 of 8,0 of 0,KO/TKO,1,0:49,3 Rnd (5-5-5),Herb Dean,"March 20, 2021","Las Vegas, Nevada, USA",Heavyweight Bout,Tai Tuivasa,Southpaw,"Mar 16, 1993",4.38,50%,3.44,50%,0.0,0%,46%,0.0,187.96,264.0,190.5,Orthodox,"Jan 03, 1989",4.33,51%,8.44,41%,0.0,0%,0%,0.0,187.96,241.0,190.5
Cheyanne Buys,Montserrat Conejo,0,0,31 of 65,15 of 41,47%,36%,49 of 87,136 of 168,0 of 0,4 of 5,---,80%,0,2,3,1,1:04,9:53,26 of 60,10 of 35,5 of 5,0 of 1,0 of 0,5 of 5,26 of 56,15 of 41,2 of 2,0 of 0,3 of 7,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,"March 20, 2021","Las Vegas, Nevada, USA",Women's Strawweight Bout,Montserrat Conejo,Switch,"Jun 25, 1995",4.1,53%,1.67,65%,0.0,0%,60%,0.0,160.02,115.0,160.02,Southpaw,"Feb 03, 1993",1.0,36%,2.07,52%,4.0,80%,0%,2.0,152.4,115.0,154.94
Marion Reneau,Macy Chiasson,0,0,30 of 63,51 of 138,47%,36%,59 of 93,92 of 184,2 of 4,1 of 1,50%,100%,0,0,0,1,2:15,3:48,14 of 40,29 of 110,7 of 13,15 of 20,9 of 10,7 of 8,25 of 54,36 of 119,5 of 9,13 of 15,0 of 0,2 of 4,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,"March 20, 2021","Las Vegas, Nevada, USA",Women's Bantamweight Bout,Macy Chiasson,Orthodox,"Jun 20, 1977",3.29,41%,3.37,61%,0.66,63%,50%,0.8,167.64000000000001,135.0,172.72,Orthodox,"Jul 27, 1991",4.16,49%,2.17,46%,0.98,21%,64%,0.5,180.34,135.0,182.88
Leonardo Santos,Grant Dawson,0,0,30 of 67,46 of 84,44%,54%,74 of 115,75 of 132,1 of 2,1 of 13,50%,7%,0,0,0,0,1:21,8:18,14 of 45,16 of 48,6 of 10,23 of 27,10 of 12,7 of 9,28 of 65,33 of 68,2 of 2,9 of 11,0 of 0,4 of 5,KO/TKO,3,4:59,3 Rnd (5-5-5),Chris Tognoni,"March 20, 2021","Las Vegas, Nevada, USA",Lightweight Bout,Grant Dawson,Orthodox,"Feb 05, 1980",2.65,44%,2.77,58%,1.07,29%,89%,0.3,182.88,155.0,190.5,Switch,"Feb 20, 1994",3.4,48%,2.1,51%,3.44,34%,40%,1.6,177.8,145.0,182.88
Song Kenan,Max Griffin,0,1,14 of 24,17 of 28,58%,60%,14 of 24,17 of 28,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:28,5 of 10,11 of 17,5 of 8,2 of 7,4 of 6,4 of 4,14 of 24,16 of 27,0 of 0,0 of 0,0 of 0,1 of 1,KO/TKO,1,2:20,3 Rnd (5-5-5),Keith Peterson,"March 20, 2021","Las Vegas, Nevada, USA",Welterweight Bout,Max Griffin,Orthodox,"Mar 10, 1990",4.39,46%,4.37,54%,0.0,0%,50%,0.0,182.88,170.0,180.34,Orthodox,"Nov 29, 1985",4.14,48%,3.94,56%,1.7,51%,66%,0.5,180.34,170.0,193.04
Derek Brunson,Kevin Holland,0,0,43 of 93,36 of 74,46%,48%,226 of 323,190 of 236,6 of 12,1 of 1,50%,100%,1,0,0,0,16:55,1:47,28 of 74,28 of 64,7 of 10,2 of 4,8 of 9,6 of 6,14 of 43,29 of 64,10 of 10,5 of 7,19 of 40,2 of 3,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,"March 20, 2021","Las Vegas, Nevada, USA",Middleweight Bout,Derek Brunson,Southpaw,"Jan 04, 1984",3.46,47%,2.72,53%,3.11,33%,94%,0.5,185.42000000000002,185.0,195.58,Orthodox,"Nov 05, 1992",4.14,56%,2.58,56%,1.08,45%,51%,0.7,190.5,185.0,205.74
Montel Jackson,Jesse Strader,2,0,15 of 26,14 of 25,57%,56%,15 of 26,14 of 25,0 of 0,0 of 0,---,---,0,0,0,0,0:16,0:01,11 of 22,3 of 7,2 of 2,3 of 7,2 of 2,8 of 11,5 of 12,12 of 22,3 of 4,0 of 1,7 of 10,2 of 2,KO/TKO,1,1:58,3 Rnd (5-5-5),Keith Peterson,"March 20, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,Montel Jackson,Southpaw,"Apr 24, 1992",3.77,55%,1.5,56%,4.15,77%,66%,0.2,177.8,135.0,190.5,Orthodox,"May 29, 1991",7.12,56%,7.63,42%,0.0,0%,0%,0.0,170.18,135.0,177.8
Misha Cirkunov,Ryan Spann,0,1,5 of 18,16 of 29,27%,55%,5 of 18,16 of 29,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:13,5 of 18,14 of 27,0 of 0,2 of 2,0 of 0,0 of 0,5 of 18,4 of 13,0 of 0,0 of 0,0 of 0,12 of 16,KO/TKO,1,1:11,3 Rnd (5-5-5),Mark Smith,"March 13, 2021","Las Vegas, Nevada, USA",Light Heavyweight Bout,Ryan Spann,Orthodox,"Feb 27, 1987",4.18,51%,3.22,60%,4.28,57%,71%,2.3,190.5,205.0,195.58,Orthodox,"Aug 24, 1991",3.55,45%,3.45,47%,1.72,41%,60%,1.7,195.58,205.0,200.66
Charles Jourdain,Marcelo Rojo,2,0,106 of 220,74 of 204,48%,36%,128 of 248,80 of 211,0 of 1,1 of 2,0%,50%,0,0,0,0,2:57,0:28,68 of 167,25 of 146,21 of 35,22 of 29,17 of 18,27 of 29,73 of 163,63 of 187,14 of 18,11 of 17,19 of 39,0 of 0,KO/TKO,3,4:31,3 Rnd (5-5-5),Mark Smith,"March 13, 2021","Las Vegas, Nevada, USA",Featherweight Bout,Charles Jourdain,Switch,"Nov 27, 1995",4.79,45%,4.11,61%,0.0,0%,47%,0.7,175.26,145.0,175.26,Orthodox,"Jul 02, 1988",5.1,36%,7.3,51%,1.03,50%,100%,0.0,172.72,145.0,180.34
